Id	Label	Color
260	Lafayette	11
261	Concordia	1
262	Butler	11
263	Wittenberg	25
264	Bluefield State	1
265	Florida Tech	11
266	Central Methodist	16
267	Truman State	24
268	Catawba	11
269	Idaho	9
270	Rhode Island	11
271	Kansas	9
272	Illinois St.	9
273	St. Joseph's (IN)	21
274	McMurry University	22
275	Houston Baptist	9
276	Fort Lewis	5
277	Western New Mexico	19
278	San Diego	11
279	Black Hills State	5
280	N. Colorado	9
281	Western Oregon	7
282	Stillman College	1
283	Cumberland (TN)	3
284	Cincinnati	9
285	Bowie State	18
286	Louisiana College	16
287	Morehouse	18
288	Central State (Ohio)	16
289	Chadron State	4
290	Fort Valley State	6
291	American International	12
292	Assumption	25
293	New Mexico Highlands	7
294	Henderson State	2
295	Texas A&M-Commerce	2
296	N. Greenville	20
297	CSU-Pueblo	2
298	Harvard	11
299	Menlo	5
300	Yale	11
301	Brown	11
302	Columbia	11
303	Cornell	11
304	Penn	11
305	Birmingham-Southern	17
306	William Jewell	21
307	West Alabama	3
308	Princeton	11
309	Ave Maria	9
310	Miles	18
311	Chowan	18
312	Dartmouth	11
313	Wisconsin-Oshkosh	5
314	Mississippi College	2
315	Virginia-Wise	20
316	Arkansas Tech	2
317	West Liberty State	25
318	Alderson Broaddus	11
319	Limestone College	11
320	Kentucky Wesleyan	14
321	Wesley	8
