Id	Label	Color
280	N. Colorado	19
281	Western Oregon	19
282	Stillman College	23
283	Cumberland (TN)	9
284	Cincinnati	13
285	Bowie State	21
286	Louisiana College	2
287	Morehouse	21
288	Central State (Ohio)	2
289	Chadron State	19
290	Fort Valley State	21
291	American International	18
292	Assumption	24
293	New Mexico Highlands	19
294	Henderson State	5
295	Texas A&M-Commerce	5
296	N. Greenville	23
297	CSU-Pueblo	5
298	Harvard	14
299	Menlo	19
300	Yale	14
301	Brown	14
302	Columbia	14
303	Cornell	14
304	Penn	14
305	Birmingham-Southern	10
306	William Jewell	10
307	West Alabama	9
308	Princeton	14
309	Ave Maria	23
310	Miles	21
311	Chowan	21
312	Dartmouth	14
313	Wisconsin-Oshkosh	11
314	Mississippi College	5
315	Virginia-Wise	23
316	Arkansas Tech	5
317	West Liberty State	24
318	Alderson Broaddus	24
319	Limestone College	10
320	Kentucky Wesleyan	9
321	Wesley	7
